"Common","com","Scientific","Scale","Par_Name","Par","Mean","Lower90","Upper90","Prob_pos"
"pallid bat","Pallid","Antrozous pallidus","500","Severity","b_sev",0.652,0.197,1.116,0.993
"pallid bat","Pallid","Antrozous pallidus","500","SMM_U1","a_mic",0.053,-0.481,0.572,0.565
"pallid bat","Pallid","Antrozous pallidus","500","Severity Sq","b_sevsq",0.191,-0.278,0.67,0.744
"pallid bat","Pallid","Antrozous pallidus","500","Day Sq","a_jday2",-0.303,-0.652,0.054,0.084
"pallid bat","Pallid","Antrozous pallidus","500","Intercept (occ)","beta",-1.378,-2.482,-0.225,0.03
"pallid bat","Pallid","Antrozous pallidus","500","Intercept (det)","alpha",-1.597,-2.185,-1.041,0
"pallid bat","Pallid","Antrozous pallidus","500","Temperature","a_temp",-0.136,-0.472,0.201,0.255
"pallid bat","Pallid","Antrozous pallidus","500","Canopy Cover","a_cc",0.479,0.158,0.81,0.992
"pallid bat","Pallid","Antrozous pallidus","500","Noise","a_noise",-0.416,-0.712,-0.112,0.011
"pallid bat","Pallid","Antrozous pallidus","500","Water Distance","b_distw",0.282,-0.186,0.753,0.84
"pallid bat","Pallid","Antrozous pallidus","500","Day","a_jday",-0.199,-0.566,0.174,0.194
"pallid bat","Pallid","Antrozous pallidus","500","Pyrodiversity","b_sevsd",-0.317,-0.792,0.149,0.124
"pallid bat","Pallid","Antrozous pallidus","500","Elevation","b_elev",-0.187,-0.658,0.283,0.26
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Intercept (det)","alpha",-3.4,-5.227,-1.531,0.001
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Day","a_jday",-0.312,-0.962,0.335,0.219
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Day Sq","a_jday2",-0.175,-0.815,0.449,0.324
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Noise","a_noise",-0.363,-1.025,0.276,0.173
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Intercept (occ)","beta",-2.101,-3.928,0.091,0.058
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Temperature","a_temp",0.063,-0.586,0.709,0.561
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Water Distance","b_distw",-0.226,-0.922,0.479,0.288
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Pyrodiversity","b_sevsd",-0.308,-0.996,0.355,0.211
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","SMM_U1","a_mic",-0.213,-0.983,0.551,0.314
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Canopy Cover","a_cc",-0.111,-0.81,0.611,0.388
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Elevation","b_elev",-0.377,-1.052,0.291,0.187
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Severity Sq","b_sevsq",-0.073,-0.778,0.642,0.433
"Townsend's big-eared bat","Townsend's","Corynorhinus townsendii","500","Severity","b_sev",0.031,-0.668,0.731,0.539
"big brown bat","Big brown","Eptesicus fuscus","500","Temperature","a_temp",0.327,0.17,0.49,1
"big brown bat","Big brown","Eptesicus fuscus","500","Severity Sq","b_sevsq",-0.127,-0.519,0.274,0.297
"big brown bat","Big brown","Eptesicus fuscus","500","Severity","b_sev",0.378,0,0.757,0.95
"big brown bat","Big brown","Eptesicus fuscus","500","Intercept (occ)","beta",1.234,0.52,1.939,0.989
"big brown bat","Big brown","Eptesicus fuscus","500","Intercept (det)","alpha",0.054,-0.185,0.289,0.646
"big brown bat","Big brown","Eptesicus fuscus","500","Canopy Cover","a_cc",-0.325,-0.46,-0.193,0
"big brown bat","Big brown","Eptesicus fuscus","500","Elevation","b_elev",0.628,0.267,0.995,0.997
"big brown bat","Big brown","Eptesicus fuscus","500","Day","a_jday",0.404,0.225,0.581,1
"big brown bat","Big brown","Eptesicus fuscus","500","SMM_U1","a_mic",-0.001,-0.249,0.248,0.497
"big brown bat","Big brown","Eptesicus fuscus","500","Day Sq","a_jday2",-0.772,-0.967,-0.58,0
"big brown bat","Big brown","Eptesicus fuscus","500","Pyrodiversity","b_sevsd",-0.149,-0.47,0.181,0.215
"big brown bat","Big brown","Eptesicus fuscus","500","Water Distance","b_distw",0.191,-0.135,0.507,0.843
"big brown bat","Big brown","Eptesicus fuscus","500","Noise","a_noise",-0.326,-0.464,-0.193,0
"spotted bat","Spotted","Euderma maculatum","500","Canopy Cover","a_cc",-0.058,-0.773,0.646,0.442
"spotted bat","Spotted","Euderma maculatum","500","Water Distance","b_distw",0.13,-0.6,0.851,0.617
"spotted bat","Spotted","Euderma maculatum","500","Day","a_jday",0.312,-0.416,1,0.784
"spotted bat","Spotted","Euderma maculatum","500","Elevation","b_elev",-0.058,-0.692,0.593,0.448
"spotted bat","Spotted","Euderma maculatum","500","Noise","a_noise",-0.112,-0.79,0.546,0.397
"spotted bat","Spotted","Euderma maculatum","500","Temperature","a_temp",0.07,-0.614,0.717,0.577
"spotted bat","Spotted","Euderma maculatum","500","Severity","b_sev",0.294,-0.446,1.01,0.741
"spotted bat","Spotted","Euderma maculatum","500","Intercept (occ)","beta",-2.105,-3.772,-0.037,0.047
"spotted bat","Spotted","Euderma maculatum","500","Day Sq","a_jday2",-0.125,-0.765,0.522,0.377
"spotted bat","Spotted","Euderma maculatum","500","Severity Sq","b_sevsq",-0.371,-1.077,0.321,0.187
"spotted bat","Spotted","Euderma maculatum","500","Pyrodiversity","b_sevsd",0.246,-0.438,0.925,0.736
"spotted bat","Spotted","Euderma maculatum","500","SMM_U1","a_mic",0.042,-0.737,0.842,0.53
"spotted bat","Spotted","Euderma maculatum","500","Intercept (det)","alpha",-3.195,-5.098,-1.315,0.003
"western mastiff bat","Western mastiff","Eumops perotis","50","Canopy Cover","a_cc",0.406,-0.024,0.848,0.94
"western mastiff bat","Western mastiff","Eumops perotis","50","Intercept (occ)","beta",-0.618,-2.102,1.255,0.243
"western mastiff bat","Western mastiff","Eumops perotis","50","Day Sq","a_jday2",-0.393,-0.954,0.127,0.11
"western mastiff bat","Western mastiff","Eumops perotis","50","Elevation","b_elev",-0.093,-0.73,0.57,0.406
"western mastiff bat","Western mastiff","Eumops perotis","50","Noise","a_noise",-0.252,-0.704,0.181,0.172
"western mastiff bat","Western mastiff","Eumops perotis","50","Severity Sq","b_sevsq",0.132,-0.517,0.804,0.625
"western mastiff bat","Western mastiff","Eumops perotis","50","Day","a_jday",0.455,-0.052,0.978,0.927
"western mastiff bat","Western mastiff","Eumops perotis","50","Water Distance","b_distw",0.135,-0.588,0.824,0.635
"western mastiff bat","Western mastiff","Eumops perotis","50","Intercept (det)","alpha",-3.388,-4.404,-2.402,0
