"point","year","sm3_u1","night","species","ccounts","forest","y_coord","x_coord","mic_ht"
"213_2",2015,0,20150609,"lano",8,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"myth",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"myev",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"labl",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"anpa",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"myci",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"euma",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"mylu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"myca",2,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"laci",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"lano",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"myca",1,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"myci",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"laci",1,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"eupe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"myyu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"laci",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"labl",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"lano",6,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"myca",3,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"eupe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"tabr",11,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"myvo",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"epfu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"myyu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"myth",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"euma",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"laci",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"coto",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"pahe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"labl",1,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"myev",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"myvo",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"pahe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"myci",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"tabr",1,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"pahe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"coto",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"epfu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"laci",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"labl",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"lano",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"myyu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"mylu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"myev",1,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"myev",1,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"myyu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150601,"myvo",0,"plumas/lassen",40.14,121.07,2.7
