"sp","scale","looic_mn","looic_se","weight"
"anpa",50,354.721496077064,57.4257151343374,0
"anpa",100,353.844334235664,57.4990905919066,0
"anpa",250,350.690001876672,56.9307813979673,0
"anpa",500,348.833910194038,56.6837691069242,1
"coto",50,45.3372562376927,20.9655416948928,0
"coto",100,45.2804467760744,20.9593423660424,0
"coto",250,44.6744171867288,20.6489668631553,1e-04
"coto",500,44.5408247113899,20.4810862116772,0.9999
"epfu",50,1245.74143967781,73.8452081544365,0
"epfu",100,1244.33030710318,73.9343604579066,0
"epfu",250,1243.48281805174,74.3882803645741,0
"epfu",500,1240.5567084816,73.8175242361311,1
"labl",50,362.903835992584,56.2609157947542,0
"labl",100,361.354268157031,55.9513904418117,0
"labl",250,358.519897531931,55.5910516873743,0.1378
"labl",500,358.159145119246,55.6056497231879,0.8622
"laci",50,1128.91383881413,74.3239889593402,0
"laci",100,1126.63089947625,73.9939611374642,0
"laci",250,1125.97000551224,74.1399424355322,0
"laci",500,1122.84143259934,74.2291328066217,1
"lano",50,1156.94604769029,65.5018095299088,0.1158
"lano",100,1156.56522735879,65.3232605962214,0.8811
"lano",250,1158.24728353689,65.1171696511385,0
"lano",500,1158.45581656029,65.0748631842755,0.0031
"myca",50,1281.16689118326,70.9530958286158,0.1868
"myca",100,1282.55535234008,70.8297697627944,0
"myca",250,1280.19502217161,71.1564175980662,0.071
"myca",500,1279.94229208641,71.1250960613659,0.7422
"myci",50,532.033303628141,64.1335486838657,2e-04
"myci",100,532.901338371979,64.268195317447,0
"myci",250,530.840801587602,64.0190103558936,0.2094
"myci",500,530.076170358306,64.1607679097321,0.7905
"myev",50,1503.13524804395,66.7804332433265,0.1299
"myev",100,1504.4767183116,66.946856841957,0
"myev",250,1501.51447974667,67.0747606131706,0.8406
"myev",500,1502.47096609376,66.9524757139987,0.0295
"mylu",50,1082.37698741584,94.6124771695751,1e-04
"mylu",100,1081.56342585301,93.9368226018809,0
"mylu",250,1075.97171426155,93.8570112320745,0.9999
"mylu",500,1080.03498375576,94.7084569561842,0
"myth",50,879.036756521983,76.6093396763856,0
"myth",100,874.867112466178,76.5238053691735,0.3049
"myth",250,875.790129549727,76.4603898905181,0
"myth",500,873.397100389448,76.5261941485133,0.6951
"myvo",50,184.330660246337,41.0861028666037,0
"myvo",100,184.058689742405,40.8864721254812,1e-04
"myvo",250,184.392131794033,40.8040549888096,0
"myvo",500,183.5084283143,40.6820721967729,0.9999
"myyu",50,785.628268471589,76.5721461154968,0
"myyu",100,784.992660471828,76.6318030315455,0
"myyu",250,775.413735424263,76.1902052719108,0.9917
"myyu",500,778.024647038103,75.8323779335702,0.0083
"pahe",50,742.513536780145,73.3809653175746,0
"pahe",100,741.330983833083,73.5430841442373,1e-04
"pahe",250,740.075729118903,73.2739256374385,0.9997
"pahe",500,741.281067840229,73.325086484816,1e-04
"eupe",50,143.388353476334,34.3322402205661,0.484
"eupe",100,143.331850178852,34.2372558378337,0.3222
"eupe",250,143.664791945743,34.3542474551799,0.1938
"eupe",500,145.556514282898,34.6911185047915,0
"euma",50,48.3778972247147,22.5660365695411,0
"euma",100,48.2313576046039,22.5249731183987,0
"euma",250,47.3765346000542,22.0722956138808,0
"euma",500,46.0480077230655,21.4751029754783,1
"tabr",50,1286.9692685446,73.0530029567389,0
"tabr",100,1287.01085609722,73.0990944826988,0
"tabr",250,1286.93332111458,73.1540299418045,0
"tabr",500,1286.26462026076,73.1375490802004,1
